Establishment,Google maps,Read on Hellgate,Address,Latitude,Longitude,Borough,Neighborhood,Cuisine,Specialty
Tong - Bengali Street Food,https://maps.app.goo.gl/XoPVueJdjUeAR1Td7,https://hellgatenyc.com/unforgettable-bangladeshi-fuchka-at-tong/,"169 Street Station, Jamaica, NY 11432",40.71026751,-73.79468293,Queens,Jamaica,Bengali,Fuchka
Plaza Ortega,https://maps.app.goo.gl/Nj6sCCojSUrqM9Tn9,https://hellgatenyc.com/20-dinner-terrific-tacos-tortas-and-gringas-at-bushwicks-plaza-ortega/,"140 Stanhope St, Brooklyn, NY 11221",40.6981647,-73.9225762,Brooklyn,Bushwick,Mexican,"Tacos, tortas, and gringas"
Dave's Hot Chicken,https://maps.app.goo.gl/N1Hzub8vzpG9r8K38,https://hellgatenyc.com/20-dinner-daves-hot-chicken-seriously-good-bird/,"944 8th Ave, New York, NY 10019",40.7657643,-73.9831962,Manhattan,Midtown,American,Chicken tenders
S & P Lunch,https://maps.app.goo.gl/2rTVPWBVyAro4ztH6,https://hellgatenyc.com/20-dinner-court-street-grocers-guys-save-sacred-sandwich-space-eisenbergs/,"174 5th Ave, New York, NY 10010",40.74113107,-73.99013418,Manhattan,Flatiron,,Sandwiches
Urban Hawker,https://maps.app.goo.gl/tT6UjeWc151mcGmv9,https://hellgatenyc.com/20-dollar-dinner-urban-hawker-market/,"135 W 50th St, New York, NY 10020",40.7609649,-73.98251293,Manhattan,Midtown,Singaporean,
Burger By Day,https://maps.app.goo.gl/yBxZhvmU9bTBHDyz7,https://hellgatenyc.com/20-dinner-nycs-best-new-burger-is-in-chinatown/,"242 Grand St, New York, NY 10002",40.7184773,-73.994292,Manhattan,Chinatown,,Burgers
Baby's Buns and Buckets,https://maps.app.goo.gl/WDCD2Z5Umex8ktpc6,https://hellgatenyc.com/20-dinner-babys-buns-buckets/,"445 Albee Square W, Brooklyn, NY 11201",40.69101409,-73.98295622,Brooklyn,Downtown Brooklyn,Thai,Thai sliders
Everytable,https://maps.app.goo.gl/d3zVfKiZhRD6UWEW7,https://hellgatenyc.com/20-dinner-everytable/,"750 6th Ave, New York, NY 10010",40.7437079,-73.9919839,Manhattan,Flatiron,,
Gunther's,https://maps.app.goo.gl/YT56Mjpt3up37qe99,https://hellgatenyc.com/20-dinner-gunthers-soup-queen-farewell-bushwick/,"487 Seneca Ave, Ridgewood, NY 11385",40.7057714,-73.912221,Queens,Ridgewood,,Soups
Bobbi's Italian beef,https://maps.app.goo.gl/pPTPjimQDDgecxfu6,https://hellgatenyc.com/20-dinner-bobbis-italian-beef/,"228 Smith St, Brooklyn, NY 11231",40.6840037,-73.9925388,Brooklyn,Cobble Hill,Italian,Sandwiches
Olly Olly,https://maps.app.goo.gl/eJHg3C4rTbdHvCGT6,https://hellgatenyc.com/20-dollar-dinner-olly-olly/,"601 W 26th St, New York, NY 10001",40.75131488,-74.00586575,Manhattan,Chelsea,,
Next Stop Vegan,https://maps.app.goo.gl/83Zw3qiGGqosgBBL7,https://hellgatenyc.com/next-stop-vegan-brings-next-level-plant-based-dominican-food-to-downtown-brooklyn/,"88 Livingston St, Brooklyn, NY 11201",40.6912119,-73.9907069,Brooklyn,Downtown Brooklyn,Comfort Food,
Mucho Sarap,https://maps.app.goo.gl/QCtCjK2NFaPmPNqAA,https://hellgatenyc.com/20-dinner-mucho-sarap-canal-street/,"265 Canal St, New York, NY 10013",40.7190632,-74.0008623,Manhattan,SoHo,Filipino,
Rokstar Chicken,https://maps.app.goo.gl/Z5gjDkn5bQBE7ZLN9,https://hellgatenyc.com/20-dinner-rokstar-chicken/,"4202 Northern Blvd Located in front of Food Bazaar Supermarket, Long Island City, NY 11101",40.7521249,-73.921528,Queens,Long Island City,Korean,Chicken
Papaye,https://maps.app.goo.gl/YAfWpwkdt79vWWoz7,https://hellgatenyc.com/20-dinner-papaye-the-bronx/,"196 McClellan St, Bronx, NY 10456",40.83255805,-73.91779194,The Bronx,Concourse,Ghanaian,
Mama Yoshi Mini Mart,https://maps.app.goo.gl/KG4gNhjqX7pZ1QgR8,https://hellgatenyc.com/chicken-katsu-at-yoshi-mini-mart-ridgewood/,"17-11 Grove St, Ridgewood, NY 11385",40.7031968,-73.911119,Queens,Ridgewood,Japanese,Katsu sandwich
Zhego,https://maps.app.goo.gl/Q3aKBCPMWZ5zDbCS7,https://hellgatenyc.com/zhego-fantastic-bhutanese-feast-woodside-queens/,"38-4 61st St, Woodside, NY 11377",40.7475652,-73.9026985,Queens,Woodside,Bhutanese,
Velma,https://maps.app.goo.gl/K2Bmn5kANqah7Y27A,https://hellgatenyc.com/gloriously-gooey-slices-and-great-vibes-at-velma-in-ridgewood/,"584 Seneca Ave, Ridgewood, NY 11385",40.7042332,-73.9104028,Queens,Ridgewood,Italian,Pizzas
Lin & Daughters,https://maps.app.goo.gl/daFK6kCgefWK4tUz7,https://hellgatenyc.com/lin-and-daughters-west-village/,"181 West 4th Street, New York, NY 10014",40.7325286,-74.0016758,Manhattan,West Village,Chinese,Noodles and dumplings
Doña Zita,https://maps.app.goo.gl/ZQqUHwDgAcCBooZh7,https://hellgatenyc.com/nycs-best-cemitas-coney-island/,"1221 Bowery St, Brooklyn, NY 11224",40.57486142,-73.98049125,Brooklyn,Coney Island,Mexican,Cemitas
Old Luo Yang,https://maps.app.goo.gl/kitTZyaAyQWvE57d6,https://hellgatenyc.com/flushing-cold-noodle-mall-stall-favorite-old-luo-yang-gets-its-own-storefront/,"135-42 39th Ave, Flushing, NY 11354",40.7600032,-73.8309068,Queens,Flushing,Chinese,Noodles
Taste of Heaven,https://maps.app.goo.gl/kBEAVDhpyosA7gvz8,https://hellgatenyc.com/if-you-want-a-taste-of-heaven-you-must-go-to-east-williamsburg/,"251 Jackson St, Brooklyn, NY 11211",40.7171407,-73.9405452,Brooklyn,East Williamsburg,Comfort Food,
Akara House,https://maps.app.goo.gl/J6qB8DE5XzvvPJRH6,https://hellgatenyc.com/nigerian-street-food-akara-house/,"642 Nostrand Ave, Brooklyn, NY 11216",40.6764452,-73.9501033,Brooklyn,Crown Heights,Nigerian,
Big Wong,https://maps.app.goo.gl/JDzsj7LFLizpNUDv6,https://hellgatenyc.com/big-wong-hits-williamsburg/,"135b N 5th St, Brooklyn, NY 11249",40.7170234,-73.9591041,Brooklyn,Williamsburg,Chinese,Roast duck
The York,https://maps.app.goo.gl/uRdBBuYZfSbjFBxk8,https://hellgatenyc.com/the-york-burgers/,"186 Avenue B, New York, NY 10009",40.7278776,-73.9794066,Manhattan,East Village,,Burgers
Chiangmai Diner & Bar,https://maps.app.goo.gl/oTxJ7V62P9Ko5L4Y7,https://hellgatenyc.com/chiang-mai-fantastic-thai-bushwick/,"942 Flushing Ave, Brooklyn, NY 11206",40.7026008,-73.933617,Brooklyn,Bushwick,Thai,
Sea & Soil,https://maps.app.goo.gl/rR3uhPZTxfrhkRCW8,https://hellgatenyc.com/wildly-delicious-worker-owned-brooklyns-new-sandwich-shop-sea-and-soil/,"102 President St, Brooklyn, NY 11231",40.6834523,-74.0028297,Brooklyn,Carroll Gardens,,Sandwiches
Mabu Cafe,https://maps.app.goo.gl/nxrjzbFyHPNndXDV9,https://hellgatenyc.com/nycs-hottest-club-mabu-cafe-doyers/,"18 Doyers St, New York, NY 10013",40.7145739,-73.9980045,Manhattan,Chinatown,Hong Kong,
Taqueria Ramirez,https://maps.app.goo.gl/AbnNaLZX26ScKACo6,https://hellgatenyc.com/taqueria-ramirez-al-pastor-burger/,"94 Franklin St, Brooklyn, NY 11222",40.72788945,-73.95694496,Brooklyn,Greenpoint,Mexican,Tacos
Kiosko 787,https://maps.app.goo.gl/3vFqzQ3ssikud7gKA,https://hellgatenyc.com/killer-puerto-rican-food-at-kiosko-787-gowanus/,"488 Carroll St, Brooklyn, NY 11215",40.6769277,-73.9860938,Brooklyn,Gowanus,Puerto Rican,
Funzi's Pizzeria,https://maps.app.goo.gl/B9Xdcn2VC1q7XvmFA,https://hellgatenyc.com/funzis-pizzeria-brings-excellent-slices-to-st-marks-place/,"36 St Marks Pl, New York, NY 10003",40.7286439,-73.9881729,Manhattan,East Village,Italian,Pizzas
Sofun noodle bar,https://maps.app.goo.gl/onnbDRDhvhcyV4Fp7,https://hellgatenyc.com/hunan-slurp-sofun-long-island-city/,"4340 12th St, Long Island City, NY 11101",40.7504577,-73.9482385,Queens,Long Island City,Chinese,Noodles
Salty Lunch Lady's Little Luncheonette,https://maps.app.goo.gl/YbFtP1Gvj89Us82N6,https://hellgatenyc.com/salty-lunch-lady-dria-atencio-killer-sandwiches-cakes-ridgewood/,"565 Woodward Ave, Ridgewood, NY 11385",40.7067463,-73.9086148,Queens,Ridgewood,,Sandwiches and cakes
Mama Lee - Williamsburg,https://maps.app.goo.gl/qwGmLPXu23DTGEgM8,https://hellgatenyc.com/mama-lee-taiwanese-williamsburg/,"66 Grand St, Brooklyn, NY 11249",40.7156185,-73.9649307,Brooklyn,Williamsburg,Taiwanese,
Super Taste - Upper East Side,https://maps.app.goo.gl/WF8ToLchqq3e8h4y8,https://hellgatenyc.com/super-taste-upper-east-side/,"1502 1st Ave., New York, NY 10075",40.7718429,-73.9527208,Manhattan,Upper East Side,Chinese,Noodles
Yellow Rose,https://maps.app.goo.gl/G3HML3d419L4cYxq6,https://hellgatenyc.com/tacombi-yellow-rose-taco-showdown-east-village-nyc/,"102 3rd Ave, New York, NY 10003",40.7325369,-73.9880691,Manhattan,East Village,Tex-Mex,Tacos
Lovely's Old Fashioned,https://maps.app.goo.gl/4JWvuJhPfyGB3W7c9,https://hellgatenyc.com/lovelys-old-fashioned-burger-fries-hells-kitchen/,"642 9th Ave, New York, NY 10036",40.7603697,-73.9909505,Manhattan,Hell's Kitchen,,Hamburgers
Patok by Rach,https://maps.app.goo.gl/CgtfsYE3mQ5GBXth6,https://hellgatenyc.com/patok-by-rach-in-inwood-review/,"5057 Broadway, New York, NY 10034",40.8703766,-73.9156366,Manhattan,Inwood,Filipino,
Bread and Butter,https://maps.app.goo.gl/3boMgSfhdMs6G3cc7,https://hellgatenyc.com/bakery-bread-and-butter-bed-stuy-review/,"53 Rockaway Ave, Brooklyn, NY 11233",40.6813472,-73.9112416,Brooklyn,Bedford-Stuyvesant,,Baked goods
Cloud Vietnamese Restaurant,https://maps.app.goo.gl/PQMM5U8dVZrUTDYg8,https://hellgatenyc.com/cloud-vietnamese-lower-east-side-clinton-street/,"79 Clinton St, New York, NY 10002",40.7189185,-73.9852756,Manhattan,Lower East Side,Vietnamese,
El Primo,https://maps.app.goo.gl/Q3yrKivMiQiTBFAB6,https://hellgatenyc.com/el-primo-brings-top-notch-birria-delights-tacos-nyc/,"151 Avenue A, New York, NY 10009",40.7276569,-73.9826788,Manhattan,East Village,Mexican,Tacos and birria
Taste of Himalaya,https://maps.app.goo.gl/uxjT6jwPmXU5es4k6,https://hellgatenyc.com/taste-of-himalaya-elmhurst-queens-so-good/,"75-16 Broadway, Elmhurst, NY 11373",40.7458825,-73.8900237,Queens,Elmhurst,Himalayan,
Taku Sando,https://maps.app.goo.gl/TK9QQPF4HqcphMmW6,https://hellgatenyc.com/taku-sando-japanese-greenpoint-nyc/,"29 Greenpoint Ave, Brooklyn, NY 11222",40.7298638,-73.9596512,Brooklyn,Greenpoint,Japanese,Sandwiches
Hamburger America,https://maps.app.goo.gl/j1BcEwewta9YBBNQ8,https://hellgatenyc.com/hamburger-america-george-motz-soho-nyc/,"155 W Houston St, New York, NY 10012",40.7280142,-74.0025767,Manhattan,SoHo,American,Burgers
Hyderabadi Zaiqa,https://maps.app.goo.gl/xJLjBcjwQUiE4zqf7,https://hellgatenyc.com/hyderabadi-zaiqa-hells-kitchen-best-biryani/,"366 W 52nd St, New York, NY 10019",40.7643836,-73.9876243,Manhattan,Hell's Kitchen,Indian,Biryani
Sonbul,https://maps.app.goo.gl/N1S5XHMcwQ2MgNWz8,https://hellgatenyc.com/sonbul-korean-food-burly-bed-stuy/,"356 Throop Ave, Brooklyn, NY 11221",40.6920119,-73.9429046,Brooklyn,Bedford-Stuyvesant,Korean,
Spicy Nepal,https://maps.app.goo.gl/rQos95Ah4ErEN4cs8,https://hellgatenyc.com/spicy-nepal-sunnyside-review/,"39-35 47th Ave, Sunnyside, NY 11104",40.7420136,-73.9252478,Queens,Sunnyside,Nepali,
El Rinconcito,https://maps.app.goo.gl/83GPf2quDnKtndZcA,https://hellgatenyc.com/el-rinconcito-alphabet-city-review/,"75 Loisaida Ave, New York, NY 10009",40.7231487,-73.979778,Manhattan,Alphabet City,Latin American,
Fer,https://maps.app.goo.gl/7Ah7Xx9pMsVXDxFUA,https://hellgatenyc.com/dutch-kills-fer-sichuan-restaurant-review/,"41-10 29th St, Long Island City, NY 11101",40.75090948,-73.93707545,Queens,Long Island City,Chinese,Noodles
Cauldron Chicken,https://maps.app.goo.gl/yZpd3Mq2utzFihMbA,https://hellgatenyc.com/cauldron-chicken-dao-kou-shou-ji-bleecker-street-nyc/,"190 Bleecker St, New York, NY 10012",40.72920846,-74.00145934,Manhattan,Greenwich Village,Chinese,Chicken